Ligand,Binding Affinity,rmsd/ub, rmsd/lb
3ewd_2719_uff_E=262.55,-4.6,0,0
3ewd_2719_uff_E=262.55,-4.4,35.564,33.686
3ewd_2719_uff_E=262.55,-4.4,15.959,13.011
3ewd_2719_uff_E=262.55,-4.4,31.121,28.693
3ewd_2719_uff_E=262.55,-4.4,31.044,27.87
3ewd_2719_uff_E=262.55,-4.3,30.672,28.327
3ewd_2719_uff_E=262.55,-4.2,28.869,27.549
3ewd_2719_uff_E=262.55,-4.2,29.634,27.722
3ewd_2719_uff_E=262.55,-4.2,28.585,27.522
3ewd_4046_uff_E=250.59,-7.8,0,0
3ewd_4046_uff_E=250.59,-7.4,3.784,1.518
3ewd_4046_uff_E=250.59,-7.3,26.722,24.114
3ewd_4046_uff_E=250.59,-7.2,26.782,25.414
3ewd_4046_uff_E=250.59,-7.1,26.738,25.54
3ewd_4046_uff_E=250.59,-7,26.892,24.939
3ewd_4046_uff_E=250.59,-7,26.775,25.199
3ewd_4046_uff_E=250.59,-6.7,5.652,3.393
3ewd_4046_uff_E=250.59,-6.7,6.898,3.77
3ewd_4908_uff_E=190.02,-5.7,0,0
3ewd_4908_uff_E=190.02,-5.6,27.116,25.174
3ewd_4908_uff_E=190.02,-5.5,4.104,2.115
3ewd_4908_uff_E=190.02,-5.5,36.582,35.438
3ewd_4908_uff_E=190.02,-5.5,27.621,25.93
3ewd_4908_uff_E=190.02,-5.3,26.707,24.965
3ewd_4908_uff_E=190.02,-5.2,36.263,33.613
3ewd_4908_uff_E=190.02,-5.1,14.855,11.669
3ewd_4908_uff_E=190.02,-5.1,37.14,35.745
3ewd_54671203_uff_E=690.46,-6.9,0,0
3ewd_54671203_uff_E=690.46,-6.8,6.449,2.802
3ewd_54671203_uff_E=690.46,-6.8,4.734,2.516
3ewd_54671203_uff_E=690.46,-6.6,27.26,24.871
3ewd_54671203_uff_E=690.46,-6.6,32.268,30.001
3ewd_54671203_uff_E=690.46,-6.5,23.692,21.043
3ewd_54671203_uff_E=690.46,-6.4,35.397,32.159
3ewd_54671203_uff_E=690.46,-6.4,6.292,2.914
3ewd_54671203_uff_E=690.46,-6.4,33.184,30.885
3ewd_115358_uff_E=395.52,-6.7,0,0
3ewd_115358_uff_E=395.52,-6.4,31.671,29.481
3ewd_115358_uff_E=395.52,-6.2,33.029,30.406
3ewd_115358_uff_E=395.52,-6.2,14.809,11.16
3ewd_115358_uff_E=395.52,-6.1,31.106,27.767
3ewd_115358_uff_E=395.52,-6.1,14.969,11.471
3ewd_115358_uff_E=395.52,-6,14.514,10.96
3ewd_115358_uff_E=395.52,-6,13.213,10.229
3ewd_115358_uff_E=395.52,-6,33.46,30.805
